Cost Code,Description,Supplier/Subcontractor,Src,Tran Type,Internal Ref,External Ref,PO Number,Quantity,Unit
M231,Torx Bit T30 Stanley,Etag UK,PL,PINV,22050320,230225,PO003855,15,EA
M231,Holesaw Arbor 32mm-210mm,Etag UK,PL,PINV,22050320,230225,PO003855,15,EA
M231,Sausage Combi Gun 600mm,Pulse Fixings 2000 Ltd,PL,PINV,22060018,172240,PO003854,5,EA
m231,Sympafix pin C70-16-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22060493,INV000366,PO003640,1,BOX
M231,Torx Bit T30 Stanley,Etag UK,PL,PINV,22060494,INV000178,PO003855,35,EA
M231,Horseshoe Shim Plastic Multipack (1000),Etag UK,PL,PINV,22060281,INV000114,PO003882,1,PK
M231,Brush Platform c/w Handle,Etag UK,PL,PINV,22060281,INV000114,PO003882,5,EA
M231,Drill Bit HSS Cobalt 3mm,Etag UK,PL,PINV,22060281,INV000114,PO003882,20,EA
M231,Drill Bit HSS 6mm,Etag UK,PL,PINV,22060281,INV000114,PO003882,50,EA
M231,"Paint Roller & Tray Set 9""",Etag UK,PL,PINV,22060281,INV000114,PO003882,4,EA
M231,Drill Bit SDS Plus 12x160,Etag UK,PL,PINV,22070616,INV000233,PO003899,77,EA
M231,Black Duct Tape 48x50m (Builders Tape),Etag UK,PL,PINV,22070616,INV000233,PO003899,20,EA
M231,Drill Bit HSS 8mm,Etag UK,PL,PINV,22070616,INV000233,PO003899,30,EA
M231,Rachet & Strap,Etag UK,PL,PINV,22070616,INV000233,PO003899,5,EA
M231,Tacwise T140 Staples 10mm (2000pk),Etag UK,PL,PINV,22060284,INV000341,PO003916,5,BOX
M231,Holesaw 125mm,Etag UK,PL,PINV,22060284,INV000341,PO003916,10,EA
M231,Stapler Gun Arrow Stanley,Etag UK,PL,PINV,22060284,INV000341,PO003916,2,EA
M231,Holesaw Arbor 32mm-210mm,Etag UK,PL,PINV,22060284,INV000341,PO003916,10,EA
m231,Bi Metal Holesaw 165mm,ADA Fast Fix,PL,PINV,22060132,672819,PO003919,5,EA
M231,Holesaw Pilot Bit,Etag UK,PL,PINV,22060039,INV000623,PO003932,20,EA
M231,Sanding Block Fine/Medium,Etag UK,PL,PINV,22060039,INV000623,PO003932,66,EA
M231,Blade Reciprocating 260mm long (5),Etag UK,PL,PINV,22060039,INV000623,PO003932,10,PK
M231,Sandpaper P150 for Pole Head (25 per pack),Etag UK,PL,PINV,22060039,INV000623,PO003932,20,PK
M231,Sandpaper P120 for Pole Head (25 per pack),Etag UK,PL,PINV,22060039,INV000623,PO003932,20,PK
M231,Holesaw 38mm,Etag UK,PL,PINV,22060039,INV000623,PO003932,5,EA
M231,Makita Blade 305mm x 25.4mm B-097654,Etag UK,PL,PINV,22060039,INV000623,PO003932,3,EA
M231,Sanding Block Fine/Medium,Etag UK,PL,PINV,22060039,INV000623,PO003932,34,EA
M231,M,Etag UK,PL,PINN,22060290,INV000580,,0,
M231,Holesaw Bi-Metal 73mm Dart,Etag UK,PL,PINV,22060291,INV000626,PO003951,10,EA
M231,Holesaw Bi-Metal 152mm Dart,Etag UK,PL,PINV,22060291,INV000626,PO003951,6,EA
M231,Holesaw Bi-Metal 152mm Dart,Etag UK,PL,PINV,22060291,INV000626,PO003951,4,EA
M231,Ejot Insulation Screw DDS 7.3 x 150 White 100,VJ Technology Limited,PL,PINV,22060090,INV3185964,PO003934,15,BOX
M231,Ejot Insulation Screw DDS 7.3 x 150 White 100,VJ Technology Limited,PL,PINV,22060090,INV3185964,PO003934,15,BOX
M231,Wood cutting sawblade 165mm/20mm bore,Etag UK,PL,PINV,22060226,INV000876,PO003966,1,EA
M231,Drill Bit SDS Plus 12x160,Etag UK,PL,PINV,22060225,INV000796,PO003899,23,EA
M231,Floor Scraper c/w Steel Handle,Etag UK,PL,PINV,22060302,INV001134,PO004013,2,EA
M231,Multitool blades 64mm,Etag UK,PL,PINV,22060302,INV001134,PO004013,50,EA
M231,Floor Scraper c/w Steel Handle,Etag UK,PL,PINV,22060302,INV001134,PO004013,2,EA
m231,Wing Tek Light 4.8x38 Evolution (1000),Etag UK,PL,PINV,22060303,INV001233,PO004024,1,BOX
M231,Holesaw 64mm,Etag UK,PL,PINV,22060303,INV001233,PO004024,10,EA
